Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	common|beta	common|z	common|p-value	common|fdr	common|wald-p-value	common|wald-fdr	BG11_Control|beta	BG11_Control|z	BG11_Control|p-value	BG11_Control|fdr	BG11_Control|wald-p-value	BG11_Control|wald-fdr	BG11_Lys|beta	BG11_Lys|z	BG11_Lys|p-value	BG11_Lys|fdr	BG11_Lys|wald-p-value	BG11_Lys|wald-fdr
atpD	5	-0.085992	-6.4476	0.00058617	0.022727	1.1361e-10	7.5516e-09	-0.010749	-6.4476	0.00058617	0.022727	1.1361e-10	7.5516e-09	0.16934	2.1607	0.040836	0.47285	0.030718	0.14721	-0.18009	-2.2973	0.033411	0.42857	0.0216	0.11798
glmS	5	-0.045647	-3.8955	0.033607	0.37069	9.8001e-05	0.0013779	-0.0057058	-3.8955	0.033607	0.37069	9.8001e-05	0.0013779	0.093799	1.3589	0.19558	0.83556	0.17418	0.41158	-0.099505	-1.4412	0.17585	0.81485	0.14953	0.37687
ssr2972	5	-0.0020124	-0.41496	0.89566	0.99804	0.67817	0.80737	-0.00025155	-0.41496	0.89566	0.99804	0.67817	0.80737	0.027104	0.95274	0.6485	0.99104	0.34072	0.58661	-0.027356	-0.96143	0.65201	0.99154	0.33634	0.58213
slr1501	5	0.0077095	2.1164	0.54533	0.99779	0.034307	0.13815	0.00096369	2.1164	0.54533	0.99779	0.034307	0.13815	-0.058869	-2.7628	0.42575	0.97147	0.0057303	0.050478	0.059833	2.8079	0.4195	0.96581	0.0049861	0.04557
slr1774	5	0.0025778	0.6092	0.84701	0.99804	0.54239	0.71051	0.00032222	0.6092	0.84701	0.99804	0.54239	0.71051	-0.014118	-0.57018	0.86518	0.99664	0.56855	0.76636	0.014441	0.58316	0.85698	0.9919	0.55978	0.75653
slr1773	5	0.011375	1.9653	0.37612	0.98294	0.049383	0.17539	0.0014219	1.9653	0.37612	0.98294	0.049383	0.17539	-0.019453	-0.57393	0.79719	0.99194	0.56601	0.76434	0.020875	0.61583	0.7798	0.99154	0.538	0.74139
slr1772	5	0.012504	2.3969	0.33216	0.96267	0.016534	0.085534	0.001563	2.3969	0.33216	0.96267	0.016534	0.085534	-0.018659	-0.61123	0.80793	0.99194	0.54105	0.74638	0.020222	0.66239	0.78546	0.99154	0.50772	0.71999
trx	5	0.013796	1.2351	0.29015	0.94593	0.21678	0.41694	0.0017245	1.2351	0.29015	0.94593	0.21678	0.41694	-0.18967	-2.8878	0.11919	0.70848	0.0038797	0.038556	0.1914	2.914	0.12055	0.71611	0.0035685	0.0358
ssl2009	3	-0.026549	-3.066	0.26123	0.92912	0.0021691	0.019164	-0.0033186	-3.066	0.26123	0.92912	0.0021691	0.019164	0.16111	3.1709	0.10414	0.68622	0.0015195	0.019394	-0.16443	-3.2356	0.10121	0.68519	0.0012139	0.016306
fhuA	5	0.0061912	1.439	0.6229	0.99804	0.15015	0.33573	0.0007739	1.439	0.6229	0.99804	0.15015	0.33573	-0.0032736	-0.12998	0.99531	0.99902	0.89659	0.95583	0.0040475	0.16069	0.98652	0.99843	0.87234	0.93834
slr1776	5	-0.017712	-2.8257	0.32591	0.96066	0.0047177	0.034675	-0.002214	-2.8257	0.32591	0.96066	0.0047177	0.034675	0.011222	0.30633	0.82864	0.99194	0.75936	0.87944	-0.013436	-0.36675	0.81145	0.99154	0.71381	0.85337
upp	5	-0.00073845	-0.16446	0.96581	0.99804	0.86937	0.9289	-9.2306e-05	-0.16446	0.96581	0.99804	0.86937	0.9289	0.016914	0.64217	0.76495	0.99194	0.52077	0.73143	-0.017006	-0.64557	0.77159	0.99154	0.51856	0.72791
slr1415	5	0.0074094	1.273	0.56155	0.99779	0.20302	0.40226	0.00092618	1.273	0.56155	0.99779	0.20302	0.40226	-0.05043	-1.4809	0.48789	0.9781	0.13864	0.36463	0.051356	1.508	0.47968	0.97509	0.13156	0.352
dapB	5	-0.0079668	-0.86602	0.61684	0.99779	0.38648	0.58764	-0.00099585	-0.86602	0.61684	0.99779	0.38648	0.58764	0.12828	2.3681	0.097499	0.67295	0.017878	0.10603	-0.12927	-2.3857	0.096327	0.67166	0.017049	0.10241
pchR	5	0.00072208	0.1116	0.95291	0.99804	0.91114	0.95256	9.026e-05	0.1116	0.95291	0.99804	0.91114	0.95256	-0.035598	-0.93997	0.62505	0.99097	0.34723	0.59178	0.035688	0.94229	0.62368	0.99154	0.34604	0.59035
psb13	5	0.010165	2.2319	0.42692	0.99779	0.025622	0.11433	0.0012706	2.2319	0.42692	0.99779	0.025622	0.11433	0.099661	3.737	0.17311	0.80396	0.00018621	0.0044122	-0.09839	-3.689	0.18093	0.81826	0.00022515	0.0048827
fus	5	-0.012864	-1.9805	0.45037	0.99779	0.047643	0.17208	-0.001608	-1.9805	0.45037	0.99779	0.047643	0.17208	0.22035	5.7935	0.0095741	0.19291	6.894e-09	1.4375e-06	-0.22196	-5.8351	0.0091833	0.18577	5.3757e-09	1.1464e-06
llaI_2	4	0.0019082	0.46844	0.91383	0.99804	0.63947	0.7799	0.00023852	0.46844	0.91383	0.99804	0.63947	0.7799	-0.020229	-0.8493	0.80813	0.99194	0.39572	0.63488	0.020467	0.85927	0.80344	0.99154	0.39019	0.62877
ssl0410	4	-0.0079947	-1.0375	0.61626	0.99779	0.29952	0.5041	-0.00099934	-1.0375	0.61626	0.99779	0.29952	0.5041	0.085415	1.8753	0.27745	0.91338	0.060755	0.22242	-0.086414	-1.8963	0.27589	0.91867	0.057917	0.21387
sll0230	5	0.002252	0.57002	0.86479	0.99804	0.56866	0.73325	0.0002815	0.57002	0.86479	0.99804	0.56866	0.73325	-0.042515	-1.8396	0.55295	0.98143	0.065833	0.23431	0.042797	1.8517	0.54963	0.98127	0.064076	0.22789
msrA2	5	-0.0011912	-0.28062	0.93748	0.99804	0.779	0.87299	-0.0001489	-0.28062	0.93748	0.99804	0.779	0.87299	-0.039098	-1.5703	0.58871	0.99097	0.11635	0.3312	0.038949	1.5641	0.59066	0.99124	0.11779	0.33161
psaK	5	0.0025581	0.29696	0.84818	0.99804	0.7665	0.86427	0.00031977	0.29696	0.84818	0.99804	0.7665	0.86427	-0.09466	-1.8771	0.24736	0.89601	0.0605	0.22196	0.09498	1.8834	0.24697	0.89533	0.059648	0.21784
psaD	5	-0.05553	-4.6639	0.013677	0.21148	3.1031e-06	6.6174e-05	-0.0069413	-4.6639	0.013677	0.21148	3.1031e-06	6.6174e-05	-0.19474	-2.7549	0.11645	0.70561	0.0058704	0.051176	0.1878	2.6566	0.12309	0.72	0.0078924	0.060445
aroK	5	-0.037075	-3.5704	0.067605	0.54147	0.0003565	0.0041657	-0.0046344	-3.5704	0.067605	0.54147	0.0003565	0.0041657	0.072558	1.1931	0.2968	0.93362	0.23282	0.48066	-0.077193	-1.2692	0.27765	0.92	0.20436	0.44656
rffM	5	0.0087075	2.0693	0.49238	0.99779	0.03852	0.14924	0.0010884	2.0693	0.49238	0.99779	0.03852	0.14924	0.0028362	0.11531	0.92771	0.99664	0.9082	0.95965	-0.0017477	-0.071055	0.94705	0.99843	0.94335	0.97609
sll1036	5	0.0038529	0.75654	0.76768	0.99804	0.44933	0.6401	0.00048161	0.75654	0.76768	0.99804	0.44933	0.6401	-0.046615	-1.5649	0.517	0.98134	0.11761	0.33294	0.047096	1.581	0.51016	0.98127	0.11388	0.32536
ssl0426	3	0.0054938	1.0207	0.73681	0.99804	0.30742	0.51167	0.00068673	1.0207	0.73681	0.99804	0.30742	0.51167	-0.050921	-1.6176	0.52657	0.98134	0.10576	0.31414	0.051607	1.6393	0.51973	0.98127	0.10115	0.3026
fecD	5	0.0093418	2.3144	0.46483	0.99779	0.020644	0.099208	0.0011677	2.3144	0.46483	0.99779	0.020644	0.099208	-0.038749	-1.6405	0.59359	0.99097	0.10091	0.30667	0.039917	1.6898	0.57835	0.98735	0.091064	0.28646
fecE	5	0.0032755	0.62479	0.80227	0.99804	0.53211	0.70326	0.00040944	0.62479	0.80227	0.99804	0.53211	0.70326	-0.10251	-3.3422	0.22274	0.86898	0.00083104	0.012838	0.10292	3.3555	0.22274	0.87289	0.00079228	0.012176
fecB	5	0.0066446	1.8137	0.59828	0.99779	0.069724	0.21497	0.00083057	1.8137	0.59828	0.99779	0.069724	0.21497	0.012444	0.58067	0.81321	0.99194	0.56146	0.76101	-0.011614	-0.54188	0.8306	0.99154	0.5879	0.77118
fecC	5	0.0032541	0.47934	0.80383	0.99804	0.6317	0.77545	0.00040676	0.47934	0.80383	0.99804	0.6317	0.77545	-0.030817	-0.77027	0.67487	0.99194	0.44114	0.67215	0.031223	0.78026	0.66921	0.99154	0.43524	0.66684
phb	5	0.00098098	0.1822	0.94002	0.99804	0.85542	0.9209	0.00012262	0.1822	0.94002	0.99804	0.85542	0.9209	0.019947	0.63382	0.72782	0.99194	0.5262	0.73576	-0.019824	-0.6299	0.73837	0.99154	0.52876	0.73538
ssl2733	3	-0.01997	-2.0535	0.3476	0.97107	0.040027	0.15345	-0.0024963	-2.0535	0.3476	0.97107	0.040027	0.15345	0.01588	0.27855	0.79328	0.99194	0.78059	0.89056	-0.018376	-0.3223	0.77218	0.99154	0.74723	0.87074
folK	5	0.0069076	0.66211	0.58441	0.99779	0.5079	0.68301	0.00086345	0.66211	0.58441	0.99779	0.5079	0.68301	0.060014	0.9823	0.36557	0.95508	0.32595	0.57459	-0.05915	-0.96806	0.37769	0.95693	0.33302	0.57795
sll1039	5	-0.00050402	-0.13311	0.97714	0.99804	0.89411	0.94468	-6.3003e-05	-0.13311	0.97714	0.99804	0.89411	0.94468	-0.0083523	-0.37733	0.9365	0.99664	0.70593	0.85025	0.0082893	0.37447	0.93591	0.99843	0.70805	0.8496
cysM	5	-0.00040605	-0.074084	0.98535	0.99804	0.94094	0.97044	-5.0757e-05	-0.074084	0.98535	0.99804	0.94094	0.97044	-0.052814	-1.6481	0.47011	0.97626	0.099336	0.3028	0.052763	1.6464	0.46971	0.97509	0.099671	0.3007
ccmK2	5	-0.023885	-1.7334	0.21493	0.89176	0.083018	0.2379	-0.0029856	-1.7334	0.21493	0.89176	0.083018	0.2379	0.18477	2.2929	0.029113	0.39946	0.021855	0.11937	-0.18776	-2.3298	0.026964	0.38333	0.019818	0.1122
sll0228	5	-0.0013676	-0.27369	0.92946	0.99804	0.78432	0.8755	-0.00017095	-0.27369	0.92946	0.99804	0.78432	0.8755	0.00035177	0.011993	0.95643	0.99664	0.99043	0.99588	-0.00052272	-0.017819	0.96112	0.99843	0.98578	0.99374
cysH	5	0.015544	0.68438	0.24502	0.91485	0.49374	0.67439	0.001943	0.68438	0.24502	0.91485	0.49374	0.67439	-0.10465	-0.78659	0.21766	0.86625	0.43152	0.66571	0.1066	0.80115	0.21415	0.85904	0.42305	0.6571
sll0224	5	0.025273	3.5076	0.12114	0.726	0.00045219	0.0050752	0.0031591	3.5076	0.12114	0.726	0.00045219	0.0050752	-0.074701	-1.7724	0.33314	0.94673	0.076327	0.25717	0.07786	1.8473	0.31673	0.93421	0.064706	0.22976
sll0225	5	-0.0035178	-0.63451	0.81223	0.99804	0.52575	0.69836	-0.00043973	-0.63451	0.81223	0.99804	0.52575	0.69836	-0.0011656	-0.035835	0.97558	0.99664	0.97141	0.9872	0.00072589	0.022313	0.97479	0.99843	0.9822	0.99189
slr1780	5	-0.013191	-1.5934	0.44236	0.99779	0.11107	0.28129	-0.0016489	-1.5934	0.44236	0.99779	0.11107	0.28129	0.076162	1.5711	0.27628	0.91338	0.11616	0.33108	-0.077811	-1.6049	0.27374	0.91645	0.10851	0.31653
ccmM	5	0.020045	1.3488	0.16764	0.82821	0.1774	0.36998	0.0025056	1.3488	0.16764	0.82821	0.1774	0.36998	0.18781	2.157	0.026182	0.37853	0.031006	0.14817	-0.1853	-2.1279	0.029699	0.4042	0.033345	0.15395
slr1488	5	0.014541	2.2502	0.27042	0.9345	0.024439	0.11049	0.0018176	2.2502	0.27042	0.9345	0.024439	0.11049	-0.0045521	-0.12016	0.97948	0.99664	0.90435	0.95808	0.0063698	0.16812	0.95897	0.99843	0.86649	0.93578
ccmN	5	0.024718	2.4507	0.12505	0.73708	0.014257	0.077217	0.0030898	2.4507	0.12505	0.73708	0.014257	0.077217	0.065459	1.1096	0.33411	0.94818	0.26718	0.51737	-0.062369	-1.0572	0.35619	0.948	0.29044	0.5362
cad	5	0.011168	3.4045	0.38472	0.98352	0.00066288	0.0069951	0.001396	3.4045	0.38472	0.98352	0.00066288	0.0069951	-0.023497	-1.2246	0.74697	0.99194	0.22072	0.46697	0.024893	1.2973	0.73075	0.99154	0.19453	0.43325
ccmK	5	-0.0045911	-0.34781	0.75655	0.99804	0.72798	0.84071	-0.00057389	-0.34781	0.75655	0.99804	0.72798	0.84071	0.20104	2.5999	0.018367	0.31023	0.009324	0.06926	-0.20161	-2.607	0.018367	0.30945	0.0091351	0.066982
slr0722	5	-0.0050933	-0.54903	0.73349	0.99804	0.58299	0.74259	-0.00063666	-0.54903	0.73349	0.99804	0.58299	0.74259	-0.022537	-0.41376	0.75909	0.99194	0.67905	0.83242	0.021901	0.40202	0.76514	0.99154	0.68767	0.83833
hhoA	5	-0.0045677	-1.1476	0.75713	0.99804	0.25113	0.45512	-0.00057097	-1.1476	0.75713	0.99804	0.25113	0.45512	0.019736	0.84694	0.72997	0.99194	0.39703	0.63574	-0.020307	-0.87137	0.73388	0.99154	0.38355	0.62219
cbiF	5	0.00081025	0.13037	0.94998	0.99804	0.89627	0.94622	0.00010128	0.13037	0.94998	0.99804	0.89627	0.94622	0.035959	0.98572	0.56506	0.98267	0.32427	0.57406	-0.035857	-0.98275	0.56995	0.98349	0.32573	0.57033
slr1485	5	0.0039519	1.1089	0.7628	0.99804	0.26748	0.47053	0.00049398	1.1089	0.7628	0.99804	0.26748	0.47053	-0.040099	-1.9239	0.57796	0.98666	0.054372	0.20923	0.040593	1.9475	0.57034	0.98349	0.051477	0.19961
slr1484	5	-0.00095998	-0.16279	0.95272	0.99804	0.87068	0.92974	-0.00012	-0.16279	0.95272	0.99804	0.87068	0.92974	-0.0056129	-0.16169	0.96874	0.99664	0.87155	0.94401	0.0054929	0.1582	0.96737	0.99843	0.8743	0.93936
iutA	5	0.0047081	0.83865	0.71415	0.99804	0.40167	0.59952	0.00058851	0.83865	0.71415	0.99804	0.40167	0.59952	0.089241	2.7094	0.21473	0.85859	0.0067402	0.056459	-0.088653	-2.691	0.2202	0.86759	0.0071236	0.056789
pheA	5	-0.099094	-6.0157	0.00019539	0.0092593	1.7909e-09	8.899e-08	-0.012387	-6.0157	0.00019539	0.0092593	1.7909e-09	8.899e-08	-0.16327	-1.6875	0.13736	0.74842	0.091514	0.28858	0.15088	1.5593	0.15084	0.76816	0.11891	0.33275
slr1119	5	0.010425	1.5914	0.41403	0.99779	0.11152	0.28191	0.0013031	1.5914	0.41403	0.99779	0.11152	0.28191	-0.036679	-0.95648	0.61372	0.99097	0.33883	0.58555	0.037982	0.99039	0.59887	0.99154	0.32198	0.56668
ccmL	5	0.031459	1.7971	0.088707	0.61601	0.072319	0.21914	0.0039324	1.7971	0.088707	0.61601	0.072319	0.21914	0.1508	1.4705	0.060961	0.56452	0.14144	0.36803	-0.14687	-1.4318	0.066237	0.58957	0.15219	0.38164
slr1117	5	0.010884	2.2273	0.39547	0.99029	0.025925	0.11528	0.0013605	2.2273	0.39547	0.99029	0.025925	0.11528	-0.037668	-1.3158	0.60277	0.99097	0.18825	0.42819	0.039029	1.3632	0.59066	0.99124	0.17283	0.40859
slr1116	5	0.0089491	2.0191	0.48378	0.99779	0.043477	0.16254	0.0011186	2.0191	0.48378	0.99779	0.043477	0.16254	-0.035494	-1.3693	0.62622	0.99097	0.17089	0.4074	0.036613	1.4124	0.6145	0.99154	0.15782	0.38759
slr1115	5	-0.0022962	-0.70394	0.87866	0.99804	0.48147	0.66451	-0.00028703	-0.70394	0.87866	0.99804	0.48147	0.66451	0.013385	0.70002	0.80324	0.99194	0.48392	0.70507	-0.013672	-0.71494	0.80832	0.99154	0.47465	0.69209
slr1114	5	0.0047438	1.2094	0.7118	0.99804	0.2265	0.42808	0.00059297	1.2094	0.7118	0.99804	0.2265	0.42808	-0.022001	-0.95811	0.76534	0.99194	0.33801	0.58503	0.022594	0.98384	0.75752	0.99154	0.32519	0.56966
slr1113	5	-0.021828	-3.2606	0.24951	0.92066	0.0011119	0.01084	-0.0027286	-3.2606	0.24951	0.92066	0.0011119	0.01084	0.030939	0.78925	0.61176	0.99097	0.42997	0.66483	-0.033668	-0.85878	0.58753	0.99124	0.39046	0.62882
slr1110	5	-0.024934	-2.9331	0.19597	0.87522	0.0033563	0.026468	-0.0031168	-2.9331	0.19597	0.87522	0.0033563	0.026468	0.0078385	0.15723	0.86792	0.99664	0.87507	0.94492	-0.010955	-0.21972	0.83724	0.99154	0.82609	0.91395
ssl1326	4	0.0067808	1.4654	0.62603	0.99804	0.14282	0.32735	0.0008476	1.4654	0.62603	0.99804	0.14282	0.32735	0.020551	0.75917	0.73877	0.99194	0.44775	0.67743	-0.019704	-0.72782	0.75225	0.99154	0.46673	0.68898
sll1041	5	0.0034065	0.70458	0.79543	0.99804	0.48107	0.66436	0.00042581	0.70458	0.79543	0.99804	0.48107	0.66436	-0.025077	-0.88637	0.73134	0.99194	0.37542	0.61781	0.025502	0.90138	0.72333	0.99154	0.36739	0.60851
