"","locus","BG11_Control","BG11_Lys","difference","Gene name","Product"
"61","slr0036",-0.132442923030646,0.109789327518471,-0.242232250549117,"aspC","aspartate aminotransferase"
"62","slr1720",0.123134442135013,-1.25345770678474,1.37659214891975,"aspS","aspartyl-tRNA synthetase"
"63","sll1874",0.273895888399197,0.105993591244693,0.167902297154504,"acsF2; cycII; ycf59","hypothetical protein"
"64","sll1321",-0.589002928420658,-1.01819280474071,0.429189876320055,"atp1","hypothetical protein"
"65","sll1326",-0.770571147222989,-1.47821566710967,0.707644519886678,"atpA","ATP synthase alpha chain"
"66","slr1329",-0.860327673608476,-1.97464055061796,1.11431287700949,"atpB","ATP synthase beta subunit"
"67","sll1327",-0.656539699774174,-1.69745354868308,1.04091384890891,"atpC","ATP synthase gamma chain"
"68","sll1325",-0.993830985182596,-1.6730250751802,0.6791940899976,"atpD","ATP synthase delta chain of CF(1)"
"69","slr1330",-2.05956547988481,-1.89227137319391,-0.167294106690897,"atpE","ATP synthase epsilon chain of CF(1)"
"70","sll1324",-0.966706831465552,-1.0055425136105,0.038835682144949,"atpF","ATP synthase B chain (subunit I) of CF(0)"
"71","sll1323",-0.812354575442341,-1.10326168380629,0.290907108363951,"atpG","ATP synthase subunit b' of CF(0)"
"72","ssl2615",-0.768201827213621,-1.27709522428591,0.508893397072291,"atpH","ATP synthase C chain of CF(0)"
"73","sll1322",-0.802899261687315,-1.23917886232331,0.436279600635998,"atpI","ATP synthase A chain of CF(0)"
"74","ssr2049",-0.019889340310116,-0.11895016731668,0.0990608270065645,"bchB","unknown protein"
"75","slr0905",-0.170716563622352,0.35848022064633,-0.529196784268682,"bchE","Mg-protoporphyrin IX monomethyl ester oxidative cyclase"
"76","slr0242",0.148972979646755,0.214731537551792,-0.0657585579050377,"bcp","bacterioferritin comigratory protein homolog"
"77","sll0221",-0.515171674973373,-0.109708895855908,-0.405462779117465,"bcp","bacterioferritin comigratory protein"
"78","slr1890",0.0319092601634573,0.0255686843802941,0.00634057578316319,"bfr","bacterioferritin"
"79","sll1341",0.173713411120865,0.02280802163772,0.150905389483145,"bfr","bacterioferritin"
"80","sll1538",0.341606004787637,-0.387100205400945,0.728706210188582,"bgl","similar to beta-hexosaminidase a precursor"
"81","sll1468",0.363574414955827,-0.781322781478965,1.14489719643479,"crtR","beta-carotene hydroxylase"
"82","slr1364",0.0209332699226054,-1.41840061912997,1.43933388905257,"bioB","biotin synthetase"
"83","slr0917",-1.31361530075559,-1.33189511723663,0.0182798164810383,"bioF","7-keto-8-aminopelargonic acid synthetase"
"84","slr1365",0.977280920803494,-0.422349374953543,1.39963029575704,"bioY","hypothetical protein"
"85","sll1655",0.0266119884362899,-0.0409630376289278,0.0675750260652178,"birA","similar to biotin [acetyl-CoA-carboxylase] liga se"
"86","slr0319",-0.0300435062048587,0.117540088862567,-0.147583595067426,"blaOXA-3","beta-lactamase"
"87","sll0374",0.342785491166784,0.310692232445283,0.0320932587215004,"urtE","urea transport system ATP-binding protein"
"88","slr0119",0.417837861484703,0.0300191509184791,0.387818710566224,"brkB","hypothetical protein"
"89","sll0634",-0.692558255282612,-1.04467088474372,0.352112629461106,"btpA","photosystem I biogenesis protein BtpA"
"90","slr1784",-0.0323581381447532,0.0184972897570472,-0.0508554279018003,"bvdR","biliverdin reductase"
"91","sll1683",0.0956009372311268,0.195995286366366,-0.10039434913524,"cad","lysine decarboxylase"
"92","slr1764",-0.0543069753243117,0.27823659538993,-0.332543570714241,"capA","similar to tellurium resistance protein TerE"
"93","sll1498",-0.724973264468373,-1.63186821074041,0.906894946272034,"carA","carbamoyl-phosphate synthase small chain"
"94","sll0370",-0.841902874492034,-1.90020306176522,1.05830018727319,"pyrA","carbamoyl-phosphate synthase;  pyrimidine-specif ic;  large chain"
"95","sll1869",-0.142284359861664,0.360899651303937,-0.503184011165601,"cbaB","probable dioxygenase;  Rieske iron-sulfur compon ent"
"96","sll0018",-2.76638764155327,-1.73689916732468,-1.02948847422858,"fbaA;  fda","fructose-bisphosphate aldolase;  class II"
"97","sll1349",0.238225686826715,0.661857219679985,-0.42363153285327,"cbbZp","phosphoglycolate phosphatase"
"98","sll1501",-0.0531051709825088,-0.210788654879327,0.157683483896818,"cobB","cobyrinic acid a; c-diamide synthase"
"99","slr1925",-0.296283349715504,-0.103129632577971,-0.193153717137533,"cobD","cobalamin biosynthesis protein CobD"
"100","sll0916",-0.120610652519677,0.244384050099683,-0.36499470261936,"cobH","precorrin isomerase;  precorrin-8X methylmutase"
"101","slr1538",0.295732134221469,2.38882643038166,-2.09309429616019,"cbiD","cobalamin biosynthesis protein D"
"102","sll0099",0.299928848741817,0.261738490967894,0.0381903577739228,"cbiE;  cbiT;  cobL","precorrin-6y C5;  15-methyltransferase (decarbox ylating)"
"103","slr0239",-0.0291016045657808,0.00451788251760081,-0.0336194870833816,"cobM","precorrin-4 C11-methyltransferase"
"104","slr0969",0.106591383689723,-1.14487305001614,1.25146443370586,"cobJ","precorrin methylase"
"105","slr1879",-0.115678287043112,0.277602669367142,-0.393280956410254,"cobI","precorrin-2 methyltransferase"
"106","sll0383",0.161187890148731,-0.029684118777518,0.190872008926249,"cbiM","cobalamin biosynthesis protein M"
"107","slr0618",0.352916534118994,0.0988296032471393,0.254086930871855,"cobQ","cobyric acid synthase"
"108","slr1368",0.672434387628327,-0.366617747451949,1.03905213508028,"cobL","precorrin decarbocylase"
"109","sll0934",-0.227298288883722,2.2241667737923,-2.45146506267602,"ccmA","carboxysome formation protein CcmA"
"110","sll1029",0.18616732199253,-0.710354567454897,0.896521889447427,"ccmK1","carbon dioxide concentrating mechanism protein CcmK"
"111","sll1028",-0.265263348864201,-0.881073251174768,0.615809902310566,"ccmK2","carbon dioxide concentrating mechanism protein CcmK"
"112","slr1838",0.213933359463908,0.350576818392293,-0.136643458928385,"ccmK3","carbon dioxide concentrating mechanism protein CcmK homolog 3;  putative carboxysome assembly protein"
"113","slr1839",-0.270909166612981,-0.909897860936861,0.63898869432388,"ccmK4","carbon dioxide concentrating mechanism protein CcmK homolog 4;  putative carboxysome assembly protein"
"114","slr0436",0.0608531944287272,-1.35035222606551,1.41120542049423,"ccmO","carbon dioxide concentrating mechanism protein CcmO"
"115","sll1030",0.851533978181858,0.424087347912409,0.427446630269449,"ccmL","carbon dioxide concentrating mechanism protein CcmL;  putative carboxysome assembly protein"
"116","sll1031",0.538371971038248,-0.128379113736421,0.666751084774669,"ccmM","carbon dioxide concentrating mechanism protein CcmM;  putative carboxysome structural protein"
"117","sll1032",0.563133012921327,0.333473914318271,0.229659098603056,"ccmN","carbon dioxide concentrating mechanism protein CcmN;  putative carboxysome assembly protein"
"118","sll1513",-0.670712063821539,-0.692969302122866,0.0222572383013262,"ccsA;  ycf5","c-type cytochrome synthesis protein"
"119","slr1369",-0.365985726699873,-1.05047697255325,0.684491245853375,"cdsA","phosphatidate cytidylyltransferase"
"120","slr2143",0.171245183125058,0.226857816728039,-0.0556126336029814,"cefD","L-cysteine/cystine lyase"
"121","sll0807",-1.16941319940218,-1.21539472389878,0.0459815244966004,"rpe","pentose-5-phosphate-3-epimerase"
"122","slr0772",0.105159025558085,-0.0913566078080593,0.196515633366144,"chlB","light-independent protochlorophyllide reductase subunit ChlB"
"123","slr1777",-0.223658079517264,-1.34885203271028,1.12519395319302,"chlD","magnesium protoporphyrin IX chelatase subunit D"
"124","slr0056",-0.448116005076358,-1.24393707583681,0.795821070760454,"chlG","chlorophyll a synthase"
"125","slr1055",-1.62389324821292,-1.23293122447101,-0.390962023741907,"chlH","magnesium protoporphyrin IX chelatase subunit H"
"126","slr1030",-1.10331819091503,-1.26924583238908,0.165927641474049,"chlI","magnesium protoporphyrin IX chelatase subunit I"
"127","slr0749",0.0736822397432158,0.189595964341743,-0.115913724598527,"chlL","light-independent protochlorophyllide reductase iron protein subunit ChlL"
"128","slr0525",-1.37652713549358,-1.6925378816139,0.316010746120323,"chlM","Mg-protoporphyrin IX methyl transferase"
"129","slr0750",-0.0640395797929339,0.252191686651658,-0.316231266444592,"chlN","light-independent protochlorophyllide reductase subunit ChlN"
"130","slr1457",-0.0960966728433082,0.0830861541821116,-0.17918282702542,"chrA","chromate transport protein"
"131","sll0891",-0.155576607796371,-0.00202454254526207,-0.153552065251109,"citH","malate dehydrogenase"
"132","sll1298",0.105266527976057,0.422011821824465,-0.316745293848408,"clcD","putative carboxymethylenebutenolidase"
"133","slr1641",0.287410572221651,-0.184684767726635,0.472095339948286,"clpB1","ClpB protein"
"134","slr0156",-1.64947252070013,-0.663170895673674,-0.986301625026451,"clpB2","ClpB protein"
"135","sll0020",-1.59308604614521,-1.97125415870157,0.378168112556361,"clpC","ATP-dependent Clp protease ATPase subunit"
"136","slr0164",-1.4643327968553,-1.16144699769326,-0.302885799162043,"clpP4","ATP-dependent Clp protease proteolytic subunit"
"137","slr0165",-0.824403360774237,-1.70860813033281,0.884204769558571,"clpP3","ATP-dependent Clp protease proteolytic subunit"
"138","slr0542",-0.744935627458534,-0.419746596070323,-0.325189031388211,"clpP","ATP-dependent protease ClpP"
"139","sll0534",-0.178278736839748,-1.40716806749765,1.2288893306579,"clpP2","ATP-dependent Clp protease proteolytic subunit 2"
"140","sll0535",-0.412895904873829,-0.323992793881745,-0.0889031109920849,"clpX","ATP-dependent Clp protease ATPase subunit"
"141","slr0040",-2.2982572414985,-1.5948507964485,-0.703406445050004,"cmpA","bicarbonate transport system substrate-binding protein"
"142","slr0041",-1.7633098824948,-1.31826728094133,-0.44504260155347,"cmpB","bicarbonate transport system permease protein"
"143","sll0030",-1.23739531262867,-0.817333487941249,-0.420061824687418,"cmpR","cmp operon transcriptional regulator;  LysR fami ly protein"
"144","slr0260",-0.00596397872521966,-0.112623667520344,0.106659688795124,"cobO","cob(I)alamin adenosyltransferase"
"145","sll1890",0.524181384522121,-0.148658953290729,0.672840337812849,"cobN","cobalt-chelatase subunit CobN-like protein"
"146","slr1211",-0.45864550024643,0.32356642831776,-0.782211928564191,"cobN","cobalt-chelatase subunit CobN"
"147","slr0216",0.193336094412241,0.179458607830405,0.0138774865818369,"cobP","bifunctional cobalamin biosynthesis protein Cob P"
"148","slr0502",0.0395500418424995,0.201944921822462,-0.162394879979962,"cobW","cobalamin synthesis protein cobW homolog"
"149","slr1237",-0.0870780398292569,-0.0858258078419541,-0.00125223198730273,"codA","cytosine deaminase"
"150","sll1929",0.0965668248152577,0.248666817749093,-0.152099992933835,"comE","competence protein ComE"
"151","sll1578",-0.847229575050637,-1.43750593561166,0.590276360561021,"cpcA","phycocyanin alpha subunit"
"152","sll1577",-0.900932100093349,-1.64933945095378,0.748407350860428,"cpcB","phycocyanin beta subunit"
"153","sll1580",0.0519674642544174,-0.281734233217428,0.333701697471846,"cpcC1","phycobilisome rod linker polypeptide"
"154","sll1579",-0.694990912051556,-0.500470244043954,-0.194520668007602,"cpcC2","phycobilisome rod linker polypeptide"
"155","ssl3093",0.0940319803277554,0.557974840158116,-0.463942859830361,"cpcD","phycobilisome small rod linker polypeptide"
"156","slr1878",0.180936597601508,-0.733924638324755,0.914861235926263,"cpcE","phycocyanin alpha-subunit phycocyanobilin lyase"
"157","sll1051",-0.0233539790870112,0.0999579581377114,-0.123311937224723,"cpcF","phycocyanin alpha-subunit phycocyanobilin lyase"
"158","slr2051",-0.782617794666435,-1.05103601598423,0.268418221317799,"cpcG1","phycobilisome rod-core linker polypeptide"
"159","sll1471",-0.302780390500218,-0.228367755743996,-0.0744126347562219,"cpcG2","phycobilisome rod-core linker polypeptide"
"160","slr0739",-0.617275163919542,-0.998131428981997,0.380856265062454,"crtE","geranylgeranyl pyrophosphate synthase"
"161","slr0088",0.249768461211667,0.0595688345606819,0.190199626650985,"crtO","beta-carotene ketolase"
"162","slr0940",-0.0973440313461291,-0.441837184124887,0.344493152778758,"crtQ-2","zeta-carotene desaturase"
"163","slr1125",0.0674507319205966,0.299713634296558,-0.232262902375961,"crtX","probable glucosyl transferase"
"164","slr1448",0.146692453502304,0.3258489120404,-0.179156458538096,"cscK","fructokinase"
"165","sll1704",0.0169206500357314,0.102419393166596,-0.0854987431308648,"csgA","probable short chain dehydrogenase"
"166","sll1899",-0.0167209437410182,0.296582715144607,-0.313303658885625,"ctaB","cytochrome c oxidase folding protein"
"167","slr1136",0.137920834780499,0.36609944453466,-0.228178609754161,"ctaCI","cytochrome c oxidase subunit II"
"168","sll0813",-0.117232664045359,0.672066632995789,-0.789299297041148,"ctaC","cytochrome c oxidase subunit II"
"169","slr1137",0.0402222550516347,0.288143005766789,-0.247920750715154,"ctaDI","cytochrome c oxidase subunit I"
"170","slr2082",-0.110383138523489,-0.0838265718827208,-0.0265565666407683,"ctaDII","cytochrome c oxidase subunit I"
"171","slr1138",-0.0828871570102848,0.057635716531346,-0.140522873541631,"ctaEI","cytochrome c oxidase subunit III"
"172","slr2083",-0.0122488404818781,-0.105904852771653,0.0936560122897752,"ctaEII","cytochrome c oxidase subunit III"
"173","slr0008",-0.623038247520727,-0.39947031892755,-0.223567928593176,"ctpA","carboxyl-terminal processing protease"
"174","slr0257",0.327083104212292,1.79409352271465,-1.46701041850236,"ctpB","periplasmic carboxyl-terminal protease"
"175","sll0646",0.179336026169937,0.0821304840362281,0.0972055421337087,"cya2","guanylyl cyclase"
"176","slr1991",-0.163320200653562,0.170375255992851,-0.333695456646413,"cya1","adenylate cyclase"
"177","slr1379",0.187166086034879,0.228895221765386,-0.0417291357305077,"cydA","quinol oxidase subunit I"
"178","slr1380",-0.149921754542451,0.897142739773846,-1.0470644943163,"cydB","quinol oxidase subunit II"
"179","slr0899",0.219062485446027,0.401052566740335,-0.181990081294308,"cynS","cyanate lyase"
"180","slr1251",-0.0765954379306006,-0.0945445736053455,0.0179491356747449,"cyp","peptidyl-prolyl cis-trans isomerase"
"181","slr0574",-0.172003955770939,-0.70499185832128,0.532987902550341,"cyp","cytochrome P450"
"182","slr1455",0.147098061951432,-0.00171331007007856,0.148811372021511,"cysA","sulfate transport system ATP-binding protein"
"183","slr0676",0.0568385671165777,3.60665042901665,-3.54981186190007,"cysC","adenylylsulfate kinase"
"184","slr1348",-1.43549830393911,-1.3012572208168,-0.134241083122305,"cysE","serine acetyltransferase"
"185","sll0378",0.714650132172575,-0.12370985876823,0.838359990940805,"cobA","uroporphyrin-III C-methyltransferase"
"186","slr1791",0.0786512865175892,-1.01416174783624,1.09281303435383,"cysH","phosphoadenosine phosphosulfate reductase"
"187","slr1842",-0.30264959078443,-0.344226523938704,0.0415769331542737,"cysK","cysteine synthase"
"188","sll0712",-0.0717365681167409,0.131797928524555,-0.203534496641296,"cysM","cysteine synthase"
"189","sll0895",0.253231320278977,-0.242832043137538,0.496063363416515,"cysQ","CysQ protein homolog"
"190","slr0958",-0.17383972136465,-1.06576190345087,0.891922182086224,"cysS","cysteinyl-tRNA synthetase"
"191","slr1453",-0.811613444771297,-1.25899186998358,0.44737842521228,"cysT","sulfate transport system permease protein"
"192","slr1454",0.0709283162317817,0.252349186892609,-0.181420870660828,"cysW","sulfate transport system permease protein"
"193","sll1245",-0.528622293189185,0.159267725238051,-0.687890018427236,"cytM","cytochrome cM"
"194","slr0804",-0.504774897520607,-0.59577006595129,0.0909951684306836,"dacB","probable D-alanyl-D-alanine carboxypeptidase"
"195","slr0646",0.337226231890804,0.155221866354797,0.182004365536008,"dacB","probable D-alanyl-D-alanine carboxypeptidase"
"196","slr0550",0.463417254073246,1.36912268894176,-0.905705434868512,"dapA","dihydrodipicolinate synthase"
"197","sll1058",-0.0851705462156811,-0.770572914816002,0.685402368600321,"dapB","dihydrodipicolinate reductase"
"198","slr1665",0.108856849116268,-0.0168968045705217,0.12575365368679,"dapF","diaminopimelate epimerase"
"199","ssl2296",0.312604961514795,0.410033668605042,-0.0974287070902465,"dcoH","pterin-4a-carbinolamine dehydratase"
"200","sll1314",0.0738846069124729,0.0229755061608747,0.0509091007515982,"dctP","putative C4-dicarboxylase binding protein;  peri plasmic protein"
"201","slr1556",-0.0111128085195198,0.219694679551446,-0.230807488070965,"ddh","2-hydroxyacid dehydrogenase homolog"
"202","slr1874",0.573538585891153,-0.172049305030346,0.7455878909215,"ddl","D-alanine--D-alanine ligase"
"203","slr0083",0.350293437090117,0.0517716631837153,0.298521773906401,"crhR","RNA helicase Light"
"204","slr1549",-3.10199562017774,-2.48026741346511,-0.621728206712628,"def","polypeptide deformylase"
"205","slr1666",1.07807616756441,-0.658028505551818,1.73610467311623,"degT","pleiotropic regulatory protein homolog"
"206","sll1776",-0.625935109597611,-0.380966547530108,-0.244968562067503,"deoC","deoxyribose-phosphate aldolase"
"207","slr1350",-0.47922651442637,-1.02777022057498,0.548543706148611,"desA","acyl-lipid desaturase (delta 12)"
"208","sll1441",-0.436732988446568,-2.14484336793952,1.70811037949295,"desB","acyl-lipid desaturase (omega-3)"
"209","sll0541",-3.20445062783254,-2.01070884489448,-1.19374178293807,"desC; des9","acyl-lipid desaturase (delta 9)"
"210","sll0262",-0.223622650659846,-0.650855489201207,0.42723283854136,"desD","acyl-lipid desaturase (delta 6)"
"211","sll1479",0.35612863373843,0.113494459020541,0.242634174717889,"devB","6-phosphogluconolactonase"
"212","sll0250",-0.408960760691538,-1.23223473895212,0.823273978260586,"dfp","pantothenate metabolism flavoprotein"
"213","sll0698",-0.86988074810589,-1.00539773554188,0.13551698743599,"dspA;  dfr;  hik33;  nblS","drug sensory protein A;  low temperature sensor;  two-component sensor histidine kinase"
"214","slr1706",0.790738691547417,0.482975182352904,0.307763509194513,"dfrA","dihydroflavonol 4-reductase"
"215","slr0054",-1.1952960786118,-1.27571046253306,0.0804143839212552,"dgkA","diacylglycerol kinase"
"216","sll0398",-1.66511109090804,-1.41324705685211,-0.251864034055924,"dgt","deoxyguanosinetriphosphate triphosphohydrolase"
"217","slr2041",-0.300067401014987,-1.4917867200321,1.19171931901711,"divK","probable two-component response regulator"
"218","sll0848",0.314960577383636,0.0234423099288188,0.291518267454818,"dnaA","chromosomal replication initiator protein DnaA"
"219","slr0833",-1.17735149757342,-1.90605925699749,0.728707759424066,"dnaB","replicative DNA helicase [Contains: Ssp dnaB in tein]"
"220","sll1572",0.230873984073567,0.210257481921814,0.0206165021517528,"dnaE","DNA polymerase III alpha subunit [Contains: Ssp dnaE intein]"
"221","slr0603",-0.0743811849746321,0.0818801178618403,-0.156261302836472,"dnaE","DNA polymerase III alpha subunit [Contains: Ssp dnaE intein]"
"222","sll1868",-0.734454494345618,-0.430333385825115,-0.304121108520503,"dnaG","DNA primase"
"223","sll1666",0.778880630151679,0.248077001744049,0.530803628407631,"dnaJ","DnaJ-like protein"
"224","sll1933",-2.62502459737071,-1.62032172308192,-1.00470287428879,"dnaJ2","DnaJ protein;  heat shock protein 40;  molecular chaperone"
"225","slr0093",-0.245105290027558,-0.214040134352566,-0.0310651556749918,"dnaJ","DnaJ protein;  heat shock protein 40;  molecular chaperone"
"226","sll0897",0.411886511029736,-0.183209687303087,0.595096198332823,"dnaJ1","DnaJ protein;  heat shock protein 40;  molecular chaperone"
"227","sll1932",-1.14680833423274,-0.570457233404687,-0.576351100828049,"dnaK3","DnaK protein"
"228","sll0170",-2.81524397385837,-2.11258654191982,-0.70265743193855,"dnaK2","DnaK protein 2;  heat shock protein 70;  molecula r chaperone"
"229","sll0058",0.13302701962237,-0.572824055896573,0.705851075518943,"dnaK1","DnaK protein 1;  heat shock protein 70;  molecula r chaperone"
"230","slr0965",0.0536669416057298,0.0587906658023198,-0.00512372419658998,"dnaN","DNA polymerase III beta subunit"
"231","slr0446",-0.674730179461632,-1.97778158756597,1.30305140810434,"dnaX","DNA polymerase III delta' subunit"
"232","sll1360",-2.8582083243798,-1.90918084300889,-0.949027481370915,"dnaX","DNA polymerase III subunit gamma/tau [Contains: Ssp dnaX intein]"
"233","slr1943",0.466452089601925,-0.99802048028429,1.46447256988621,"dpm1","probable glycosyltransferase"
"234","sll1540",0.515464240810012,0.260860219910621,0.254604020899391,"dpm1","dolichyl-phosphate-mannose synthase"
"235","slr1719",0.293174307401739,-0.564764507717391,0.857938815119131,"drgA","DrgA protein homolog"
"236","sll0621",-0.960675872017988,-0.924191683466332,-0.0364841885516555,"ccdA","putative c-type cytochrome biogenesis protein C cdA"
"237","sll0107",0.297600703788419,0.165956609303417,0.131644094485002,"eda","KHG/KDPG aldolase"
"238","slr0434",0.442654067857628,-0.707636114033421,1.15029018189105,"efp","elongation factor P"
"239","slr0752",0.977445796629916,-0.38446962651274,1.36191542314266,"eno","enolase"
"240","slr0817",-1.91942364488326,-1.60796447823919,-0.311459166644065,"menF","salicylate biosynthesis isochorismate synthase"
"241","slr1051",0.680482070027069,3.84181751031145,-3.16133544028438,"envM","enoyl-[acyl-carrier-protein] reductase"
"242","sll0923",-0.0483183214285771,0.310390343033046,-0.358708664461623,"epsB","unknown protein"
"243","slr0321",-1.12087567179259,-1.097464030348,-0.0234116414445833,"era","GTP-binding protein ERA homolog"
"244","slr0089",0.311360987284353,-0.110709204402157,0.42207019168651,"erg6","gamma-tocopherol methyltransferase"
"245","ssr1169",0.0630054108771306,-0.0376111865957779,0.100616597472909,"ESI3","stress induced hydrophobic peptide homolog"
